,relative_im_path,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class,test,class_name,class_index,year,make,model_general,model_specific,make_model_general,make_model_specific,make_model_year_general
0,car_ims/000001.jpg,112,7,853,717,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
1,car_ims/000002.jpg,48,24,441,202,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
2,car_ims/000003.jpg,7,4,277,180,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
3,car_ims/000004.jpg,33,50,197,150,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
4,car_ims/000005.jpg,5,8,83,58,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
5,car_ims/000006.jpg,10,6,250,110,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
6,car_ims/000007.jpg,56,1,394,176,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
7,car_ims/000008.jpg,1,13,113,83,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
8,car_ims/000009.jpg,15,111,271,272,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
9,car_ims/000010.jpg,14,18,148,107,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
10,car_ims/000011.jpg,5,8,91,59,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
11,car_ims/000012.jpg,29,18,157,86,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
12,car_ims/000013.jpg,1,1,300,179,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
13,car_ims/000014.jpg,9,1,152,103,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
14,car_ims/000015.jpg,4,15,94,63,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
15,car_ims/000016.jpg,12,16,117,71,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
16,car_ims/000017.jpg,1,5,160,89,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
17,car_ims/000018.jpg,46,84,661,428,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
18,car_ims/000019.jpg,86,81,371,252,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
19,car_ims/000020.jpg,26,32,677,418,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
20,car_ims/000021.jpg,50,127,587,396,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
21,car_ims/000022.jpg,6,9,124,89,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
22,car_ims/000023.jpg,52,25,751,507,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
23,car_ims/000024.jpg,3,23,132,98,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
24,car_ims/000025.jpg,60,76,593,393,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
25,car_ims/000026.jpg,21,18,492,316,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
26,car_ims/000027.jpg,11,31,490,266,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
27,car_ims/000028.jpg,8,3,135,86,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
28,car_ims/000029.jpg,30,65,331,199,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
29,car_ims/000030.jpg,5,14,93,58,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
30,car_ims/000031.jpg,125,645,1845,1421,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
31,car_ims/000032.jpg,20,48,385,283,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
32,car_ims/000033.jpg,51,73,570,426,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
33,car_ims/000034.jpg,79,469,1537,1198,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
34,car_ims/000035.jpg,18,18,328,190,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
35,car_ims/000036.jpg,13,235,2021,1253,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
36,car_ims/000037.jpg,6,20,123,88,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
37,car_ims/000038.jpg,26,25,283,157,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
38,car_ims/000039.jpg,61,98,458,376,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
39,car_ims/000040.jpg,111,213,907,683,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
40,car_ims/000041.jpg,178,214,901,658,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
41,car_ims/000042.jpg,9,14,490,368,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
42,car_ims/000043.jpg,28,48,663,302,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
43,car_ims/000044.jpg,4,9,96,88,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
44,car_ims/000045.jpg,6,7,94,68,1,False,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
45,car_ims/000046.jpg,14,16,268,169,1,True,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
46,car_ims/000047.jpg,10,18,89,61,1,True,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
47,car_ims/000048.jpg,111,54,365,190,1,True,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
48,car_ims/000049.jpg,9,33,479,276,1,True,AM General Hummer SUV 2000,1,2000,AM General,Hummer,Hummer SUV,AM General Hummer,AM General Hummer SUV,AM General Hummer 2000
